ndvi,temperature,rainfall,humidity,yield_tph
0.269,23.85,97.07,69.59,1.63
0.664,33.7,136.76,85.77,3.29
0.559,22.89,138.6,83.83,2.36
0.742,29.7,195.53,65.07,4.17
0.579,25.31,106.09,45.9,2.63
0.435,30.77,134.72,85.77,1.99
0.792,25.59,132.62,87.78,3.52
0.314,35.46,66.15,57.33,1.31
0.279,34.03,157.77,61.88,1.93
0.653,24.15,119.19,87.23,2.92
0.454,28.63,120.62,74.06,2.69
0.449,20.76,140.55,73.5,2.14
0.732,30.28,82.73,52.45,2.86
0.43,30.25,157.61,86.28,2.37
0.739,22.07,168.59,61.13,3.56
0.604,29.43,75.73,64.67,2.49
0.431,21.82,58.92,76.19,1.83
0.283,28.71,50.76,83.28,1.44
0.385,35.86,88.25,65.95,1.53
0.783,24.49,133.18,59.46,3.22
0.473,21.76,102.5,65.41,2.0
0.338,21.5,121.35,64.65,2.02
0.414,32.78,144.35,80.19,2.2
0.745,25.62,96.13,59.43,3.24
0.341,26.28,180.7,89.23,2.59
0.678,26.46,194.81,72.23,3.43
0.324,35.69,59.01,76.43,1.58
0.779,35.72,158.25,68.51,3.92
0.542,23.91,167.46,60.36,2.97
0.274,20.81,128.67,68.05,1.72
0.762,20.83,183.45,76.93,3.81
0.447,28.64,81.55,46.47,2.38
0.652,23.6,121.08,45.77,3.08
0.538,24.48,152.65,89.72,2.75
0.301,25.91,171.25,77.91,1.63
0.308,28.55,72.81,88.9,1.88
0.332,34.13,101.78,73.84,1.71
0.339,23.2,136.47,79.41,1.83
0.279,33.58,172.3,80.57,1.55
0.276,34.74,73.7,85.4,1.62
0.772,21.65,73.56,56.08,2.65
0.3,34.83,123.76,73.4,2.06
0.53,22.94,98.5,89.01,2.81
0.315,35.11,119.99,71.54,1.58
0.368,34.12,131.53,86.28,1.82
0.67,25.38,167.23,76.86,3.24
0.766,22.24,144.27,80.26,3.33
0.508,32.36,97.75,68.49,2.47
0.253,21.78,74.87,58.0,1.32
0.8,21.03,82.09,66.37,3.38
0.276,25.29,82.92,75.67,1.24
0.464,24.74,173.57,70.28,2.78
0.546,32.21,84.01,50.57,2.49
0.74,20.33,188.82,84.61,3.68
0.703,28.12,90.84,78.24,3.11
0.585,26.22,99.3,60.01,2.88
0.469,25.05,110.87,70.49,2.03
0.709,28.69,84.64,49.39,2.17
0.728,34.08,58.15,72.44,2.86
0.73,26.6,113.33,72.75,2.96
0.645,25.43,92.32,50.56,2.65
0.304,32.31,123.3,58.35,1.77
0.414,32.12,106.5,47.74,2.13
0.517,33.12,72.23,59.35,2.32
0.528,34.19,52.93,67.16,1.93
0.708,24.69,166.21,70.7,3.7
0.381,29.95,92.67,47.55,2.26
0.616,21.85,140.11,80.86,3.33
0.456,29.01,73.7,77.28,1.73
0.677,21.94,158.13,76.47,3.74
0.358,26.02,166.71,64.75,2.01
0.512,32.83,155.01,67.62,2.8
0.307,33.33,82.33,78.89,1.12
0.367,22.38,121.0,72.28,1.72
0.764,20.01,163.06,51.97,3.55
0.424,20.25,77.56,82.58,1.64
0.741,26.37,91.08,51.2,3.14
0.538,29.67,123.23,82.46,2.43
0.271,26.15,151.76,66.56,1.64
0.686,31.89,90.32,69.45,2.73
0.279,34.53,77.13,53.82,1.23
0.705,32.05,164.02,69.74,3.23
0.255,22.7,76.3,81.44,1.31
0.621,24.06,52.95,73.82,2.39
0.341,22.95,67.53,56.57,1.68
0.439,27.36,109.81,58.5,2.07
0.774,20.27,163.43,71.74,4.19
0.517,26.73,145.17,74.51,2.68
0.612,29.67,150.96,87.62,2.9
0.657,35.52,198.68,51.71,3.07
0.31,34.62,80.08,88.69,1.1
0.711,20.52,159.28,59.75,3.9
0.753,22.05,130.74,74.44,3.6
0.335,24.07,138.35,80.68,1.89
0.55,31.11,58.9,67.67,2.69
0.406,27.84,90.75,65.81,1.52
0.657,26.38,172.68,58.68,2.72
0.266,25.35,147.22,70.56,1.61
0.532,29.98,53.12,67.76,2.47
0.686,31.39,65.02,68.21,2.76
0.654,28.82,55.85,45.17,2.5
0.31,27.45,90.15,75.04,1.5
0.708,24.49,188.21,66.96,3.16
0.381,35.17,58.92,47.35,1.54
0.694,28.43,186.94,51.66,3.33
0.523,35.77,77.76,84.85,2.62
0.338,35.36,73.31,64.27,1.9
0.654,21.84,100.87,45.66,2.86
0.694,30.66,168.73,50.79,3.13
0.634,26.22,130.68,89.73,2.31
0.781,26.16,52.47,55.72,2.98
0.391,28.4,72.49,76.67,1.68
0.38,32.67,79.09,78.52,1.69
0.331,24.99,77.39,74.09,1.53
0.547,20.74,83.8,50.44,2.03
0.47,27.56,104.09,64.4,2.16
0.446,22.06,97.4,77.35,2.16
0.503,27.27,83.73,66.21,1.99
0.401,20.49,94.27,54.07,1.78
0.252,32.62,140.22,73.82,2.04
0.509,31.22,52.08,59.28,2.06
0.402,26.67,190.6,65.92,2.57
0.497,24.32,140.42,60.42,2.52
0.761,30.9,123.71,78.83,3.12
0.348,33.65,145.83,85.85,2.21
0.601,23.72,111.44,54.5,2.5
0.604,26.27,112.45,72.9,3.07
0.405,28.19,155.99,68.48,2.15
0.509,23.5,125.28,50.88,2.51
0.783,27.08,109.33,82.16,3.43
0.438,27.93,196.26,45.79,2.16
0.642,34.17,162.59,74.67,3.21
0.712,22.69,178.92,64.82,3.16
0.448,27.11,93.46,71.93,1.8
0.794,32.43,193.95,86.42,3.56
0.594,35.66,68.75,49.51,2.3
0.526,20.39,99.92,81.61,2.43
0.643,31.27,96.68,73.78,2.82
0.483,28.39,98.63,80.78,2.64
0.642,24.14,130.55,74.44,2.87
0.401,28.63,105.66,88.92,1.69
0.76,32.53,165.92,83.97,3.78
0.548,28.23,109.95,81.2,2.34
0.383,33.8,197.41,76.17,2.61
0.49,26.73,135.72,85.57,2.57
0.742,29.4,194.78,47.62,3.6
0.694,35.7,189.37,80.89,3.3
0.516,32.53,70.0,76.88,2.16
0.443,30.93,196.97,83.42,2.84
0.457,28.96,192.74,51.38,2.67
0.79,21.7,109.58,69.69,3.62
0.312,21.66,133.08,46.67,2.07
0.739,20.11,57.26,55.99,2.82
0.722,31.04,105.32,87.31,3.18
0.373,35.07,181.94,59.9,2.18
0.442,24.21,110.49,48.3,2.6
0.563,22.54,99.56,50.59,2.47
0.691,21.32,110.44,88.38,3.15
0.773,34.35,72.22,59.79,3.12
0.795,28.66,166.53,82.83,3.55
0.405,24.25,175.33,85.7,2.02
0.356,34.21,138.3,66.88,2.34
0.518,35.8,193.85,65.7,2.96
0.557,22.05,130.65,87.74,2.69
0.611,33.75,75.8,66.69,2.63
0.309,33.93,50.06,80.48,1.52
0.605,29.94,63.0,78.03,2.43
0.757,26.61,133.64,65.84,3.45
0.753,26.98,94.81,68.06,2.92
0.769,31.25,121.07,50.7,3.45
0.757,34.13,183.72,53.75,3.9
0.778,34.24,96.96,67.47,3.26
0.277,23.97,152.84,45.9,1.4
0.754,22.22,128.49,87.5,3.11
0.399,26.14,98.28,50.15,1.93
0.426,25.56,122.91,81.55,2.25
0.502,28.56,66.11,56.46,2.52
0.775,23.53,97.12,45.49,2.96
0.583,28.39,172.84,62.16,3.07
0.444,32.76,74.49,79.85,2.17
0.456,27.81,171.9,51.54,2.52
0.748,27.81,187.91,88.91,3.29
0.702,22.76,58.02,68.61,2.93
0.326,27.73,106.85,80.71,1.81
0.387,25.9,177.19,59.91,2.21
0.455,21.29,156.23,66.42,2.69
0.369,32.88,158.85,67.43,2.11
0.56,25.02,62.99,60.39,2.16
0.373,24.6,79.22,82.77,1.84
0.566,32.31,80.27,56.47,2.56
0.765,29.89,88.09,84.53,3.4
0.717,23.67,63.63,68.69,3.1
0.305,27.32,110.6,89.83,1.68
0.364,33.58,167.97,86.88,2.72
0.477,21.98,77.15,61.63,2.16
0.605,35.93,166.51,47.85,3.25
0.463,31.68,63.98,61.65,2.14
0.388,22.75,67.22,47.23,1.95
0.44,35.03,122.89,62.61,2.12
0.362,34.53,116.09,54.97,1.87
0.724,28.77,177.22,82.37,3.75
0.633,23.86,146.4,86.94,3.32
0.476,29.3,128.91,56.38,1.96
0.635,21.67,86.54,88.05,3.01
0.536,32.85,151.31,69.94,2.45
0.539,23.45,69.1,78.33,2.44
0.452,23.96,137.12,59.48,2.41
0.519,33.71,125.65,63.01,2.86
0.792,31.19,181.73,70.97,3.77
0.681,23.78,132.46,57.34,3.17
0.705,30.58,185.82,67.36,3.33
0.318,34.68,94.24,61.4,1.97
0.527,30.55,71.39,83.3,2.31
0.452,33.61,140.64,45.92,2.37
0.299,33.06,111.69,62.74,2.08
0.467,26.78,57.6,46.87,1.84
0.291,23.18,152.56,87.18,1.88
0.379,20.64,58.51,84.39,1.95
0.689,27.95,155.15,73.45,3.07
0.627,20.9,86.75,62.14,2.66
0.634,21.72,188.09,81.41,3.35
0.294,28.52,50.72,45.64,1.01
0.34,27.14,82.1,79.98,1.61
0.262,22.25,161.58,66.79,1.67
0.304,33.27,57.95,71.62,1.5
0.306,26.89,178.49,65.87,2.34
0.778,27.8,76.87,79.82,3.2
0.742,32.26,198.47,58.98,3.4
0.362,35.01,116.08,58.36,2.17
0.39,25.23,93.41,66.58,1.28
0.778,32.81,106.05,71.45,3.31
0.563,25.0,191.28,78.23,2.94
0.453,20.71,106.2,68.68,1.99
0.507,33.16,75.99,48.1,1.98
0.4,32.44,160.25,87.38,1.77
0.571,28.22,106.34,60.37,2.87
0.649,28.19,59.63,49.06,2.08
0.533,29.61,179.5,47.46,2.5
0.701,27.64,154.06,78.59,3.61
0.312,24.34,147.73,74.68,1.9
0.582,32.25,199.55,69.07,2.94
0.794,31.26,199.93,87.96,4.11
0.332,25.4,179.66,69.42,1.68
0.522,27.45,117.42,58.54,2.11
0.597,31.05,142.33,78.45,2.91
0.436,22.23,147.22,70.32,2.47
0.781,30.04,77.88,86.21,2.66
0.517,35.52,56.29,60.09,1.94
0.513,26.64,66.4,52.29,2.06
0.746,32.68,69.31,54.6,2.89
0.259,31.0,143.07,50.69,1.8
0.728,30.9,56.44,50.54,2.56
0.321,28.49,140.78,57.94,2.21
0.459,30.78,177.06,82.42,2.55
0.519,25.38,188.29,83.31,3.35
0.512,29.51,197.82,56.98,2.5
0.272,35.84,148.58,82.81,1.57
0.424,32.88,50.48,87.17,1.84
0.446,28.43,168.68,71.13,2.72
0.776,33.91,187.94,57.59,3.38
0.754,32.41,85.76,53.65,2.96
0.571,35.09,134.89,47.5,2.86
0.763,31.25,61.09,64.24,3.43
0.725,32.03,94.92,53.64,2.81
0.457,33.92,156.58,65.62,2.71
0.314,29.76,119.03,48.07,1.61
0.584,32.62,183.7,58.76,3.27
0.428,23.93,183.21,81.08,2.45
0.255,25.93,86.7,75.26,1.66
0.79,23.47,119.2,51.23,3.4
0.783,28.13,72.4,53.07,3.1
0.545,35.18,134.56,83.59,3.43
0.59,24.26,173.54,77.86,2.72
0.618,21.93,117.89,75.66,2.87
0.76,33.91,173.93,53.16,3.42
0.507,26.0,195.43,72.24,2.81
0.571,33.74,51.46,62.64,2.43
0.375,33.83,134.4,89.57,2.34
0.383,32.18,191.1,74.23,2.61
0.537,20.99,130.94,58.96,2.44
0.376,34.8,156.52,45.61,1.51
0.267,33.7,171.17,74.47,2.04
0.453,24.22,156.38,71.92,2.89
0.662,29.18,81.13,73.82,2.62
0.402,26.93,157.94,46.49,2.17
0.724,31.86,159.9,61.88,3.19
0.636,20.04,191.92,72.72,3.1
0.609,25.05,73.74,49.72,2.5
0.741,21.42,81.1,64.42,2.99
0.291,30.81,190.64,51.0,2.4
0.348,30.17,102.34,70.55,2.04
0.75,26.13,88.81,77.7,3.14
0.749,28.76,65.18,45.37,2.87
0.293,30.91,113.72,78.61,1.5
0.676,33.47,198.4,87.43,3.55
0.258,31.34,194.68,74.29,1.66
0.324,29.42,66.64,78.96,1.6
0.31,24.06,180.73,89.37,2.38
0.412,27.96,54.74,45.76,1.59
0.464,32.29,135.2,83.89,2.52
0.751,24.7,183.9,61.84,3.62
0.49,29.77,176.68,62.03,2.33
0.318,34.02,114.47,47.34,1.92
0.4,23.37,125.82,51.03,2.06
0.254,27.55,179.2,50.14,1.83
0.265,21.47,92.84,74.98,1.28
0.487,31.08,179.93,71.81,2.84
0.532,20.39,110.16,84.98,2.48
0.387,24.75,96.75,65.88,1.48
0.459,34.7,173.96,48.65,2.98
0.307,30.86,147.37,70.24,1.63
0.612,35.97,135.85,60.62,3.14
0.466,20.32,163.92,80.6,2.48
0.339,26.1,142.67,55.7,1.65
0.524,31.6,161.24,73.04,2.88
0.365,20.22,150.27,52.11,1.97
0.411,23.42,117.01,63.72,1.97
0.318,21.36,185.05,62.09,1.93
0.679,30.31,179.24,77.37,3.26
0.404,34.28,85.03,59.86,2.07
0.776,30.36,127.64,82.94,3.62
0.473,29.06,74.81,68.89,2.04
0.335,32.11,191.91,54.63,2.14
0.638,30.57,80.42,74.04,2.72
0.653,31.41,190.83,57.28,3.74
0.735,23.44,54.79,49.4,2.93
0.322,25.31,167.2,85.51,1.72
0.684,31.67,129.25,67.07,3.15
0.723,31.82,142.69,58.26,3.77
0.417,31.72,146.98,55.51,2.07
0.5,26.36,160.97,51.32,2.78
0.591,20.41,186.58,54.86,3.17
0.385,29.56,95.82,76.71,2.03
0.729,32.42,86.15,84.44,3.42
0.635,22.76,104.57,80.4,2.6
0.721,27.31,134.51,77.47,3.25
0.497,33.05,71.27,61.92,2.4
0.535,24.29,151.7,64.42,3.0
0.357,29.95,102.72,72.95,1.97
0.423,33.71,115.65,53.73,2.36
0.651,22.85,115.71,77.75,2.83
0.777,27.83,177.3,78.95,3.52
0.334,29.61,104.15,88.32,1.39
0.278,20.95,118.37,63.65,1.63
0.287,26.07,179.49,89.89,2.13
0.49,27.08,122.87,82.62,2.09
0.686,28.23,71.71,83.95,3.15
0.374,23.27,116.38,79.91,1.75
0.512,35.77,133.04,76.99,2.62
0.533,35.23,175.23,73.55,2.86
0.711,34.73,56.74,62.45,2.3
0.34,23.74,66.93,70.17,1.59
0.258,26.46,126.68,84.57,1.48
0.529,30.86,133.11,75.1,2.72
0.445,26.27,78.64,86.7,1.96
0.411,35.1,166.54,67.01,3.03
0.675,20.48,133.24,68.07,3.03
0.626,20.92,128.48,47.17,3.04
0.296,33.76,86.25,77.31,1.46
0.551,25.47,52.39,53.7,1.93
0.689,22.68,137.48,72.11,3.22
0.75,34.67,198.06,88.2,3.09
0.25,23.25,168.29,63.97,1.57
0.694,29.33,96.51,45.78,2.37
0.274,35.0,51.03,80.17,1.03
0.625,21.83,183.56,81.62,3.15
0.579,35.03,117.17,79.12,3.11
0.774,21.73,161.21,67.71,3.46
0.598,27.8,87.29,67.41,2.27
0.288,23.88,135.6,72.13,1.93
0.619,21.22,136.49,80.51,2.95
0.39,35.43,176.12,60.28,2.53
0.708,22.02,51.52,84.78,2.93
0.267,25.17,75.33,50.97,1.29
0.428,35.31,180.39,48.14,2.41
0.622,29.45,94.95,65.01,2.78
0.336,22.96,76.45,65.94,1.82
0.605,34.98,165.75,80.08,2.67
0.633,28.08,165.16,73.41,3.24
0.654,33.86,181.14,64.63,3.19
0.731,21.57,50.36,63.8,3.32
0.477,35.97,95.52,75.21,2.43
0.328,21.06,128.48,79.69,1.51
0.393,34.25,91.11,62.59,1.48
0.464,24.16,109.05,87.9,2.16
0.28,21.03,63.39,59.05,1.39
0.64,26.08,119.08,79.61,3.04
0.285,24.09,158.31,56.89,1.67
0.282,34.47,57.61,55.08,1.38
0.763,31.56,174.12,64.01,4.09
0.693,22.3,76.14,70.7,3.01
0.39,35.14,65.47,55.33,1.85
0.438,26.66,88.71,51.44,2.12
0.704,34.96,175.21,66.68,3.61
0.591,34.27,138.62,48.71,2.57
0.396,31.05,105.67,65.23,1.91
0.497,33.74,75.35,46.09,2.62
0.721,32.48,182.14,46.76,3.82
0.25,20.33,116.6,57.16,1.54
0.796,35.52,132.84,76.75,3.42
0.561,22.27,79.75,68.02,2.54
0.35,32.75,195.46,56.5,1.85
0.69,34.88,191.22,66.92,3.6
0.292,21.54,72.91,63.17,1.45
0.476,22.72,90.3,70.51,2.45
0.565,33.25,89.96,55.96,2.22
0.386,26.76,146.26,87.2,2.42
0.737,23.84,58.37,86.29,3.23
0.633,25.72,56.09,68.55,2.49
0.339,33.98,104.04,72.62,2.09
0.334,21.45,82.81,81.32,1.21
0.284,33.03,193.85,77.59,2.28
0.564,26.79,193.37,59.93,3.14
0.353,29.73,98.72,75.61,1.39
0.549,31.23,182.56,47.39,2.96
0.701,26.35,152.29,71.82,3.54
0.734,20.89,176.41,82.67,3.16
0.314,34.5,173.41,53.71,2.33
0.433,29.88,183.38,63.17,2.72
0.48,31.02,136.2,45.21,2.57
0.461,29.33,137.34,52.28,2.24
0.48,35.25,138.99,78.22,2.62
0.503,28.29,154.33,73.17,2.37
0.666,23.45,148.23,77.83,3.31
0.418,34.95,134.98,89.45,2.06
0.439,25.46,191.38,89.34,2.57
0.465,23.95,78.0,86.8,2.15
0.333,20.32,127.15,49.39,1.66
0.597,24.65,62.81,88.39,2.39
0.47,23.15,108.36,62.34,2.35
0.754,26.17,160.26,74.18,3.62
0.702,21.8,87.84,78.55,2.93
0.377,27.18,121.41,62.83,2.04
0.383,22.85,142.78,76.61,1.99
0.68,20.6,98.23,59.42,3.2
0.558,23.72,150.51,73.94,2.77
0.256,21.01,110.14,68.52,1.83
0.596,32.31,98.94,82.45,2.63
0.467,34.32,88.65,83.53,1.82
0.682,31.66,189.3,63.53,3.29
0.661,35.37,172.82,68.55,3.68
0.757,23.07,194.27,45.52,3.65
0.635,26.73,134.48,77.17,2.89
