ndvi,temperature,rainfall,humidity,yield_tph
0.432,26.39,140.46,56.55,1.98
0.38,30.2,72.13,80.61,1.84
0.569,27.67,119.42,61.58,2.61
0.842,22.38,122.52,67.03,4.01
0.433,25.57,118.02,82.36,2.36
0.67,23.54,150.81,60.29,3.5
0.719,37.18,150.54,66.26,3.75
0.431,27.01,144.77,44.16,2.34
0.701,22.24,135.8,46.02,3.2
0.502,32.57,168.53,66.28,2.8
0.648,25.72,129.08,42.15,3.08
0.648,31.07,101.8,41.61,3.1
0.595,24.41,67.1,44.7,2.68
0.35,37.74,124.3,50.49,1.88
0.759,37.52,87.33,44.39,3.5
0.476,32.5,106.44,51.53,2.66
0.403,33.32,65.99,73.24,2.18
0.322,28.81,136.91,58.7,1.96
0.625,37.39,166.4,69.89,3.5
0.673,28.78,99.02,74.4,2.82
0.309,25.83,156.59,54.76,1.88
0.582,23.85,75.16,80.23,2.08
0.425,25.33,146.78,78.77,2.19
0.655,31.16,69.57,58.6,3.05
0.396,25.92,91.04,77.14,1.95
0.68,32.47,103.23,55.17,2.94
0.513,28.11,78.81,72.55,2.53
0.815,36.19,82.14,83.7,3.56
0.376,30.94,143.87,54.02,2.48
0.488,31.96,71.49,65.76,1.84
0.362,30.9,172.07,56.21,2.45
0.809,36.17,152.2,62.38,4.51
0.783,23.01,102.81,49.8,4.14
0.442,23.08,135.45,59.27,2.59
0.663,33.23,146.33,69.01,3.62
0.749,34.29,131.34,55.51,3.61
0.605,28.94,134.19,53.0,3.0
0.591,27.64,169.92,54.9,3.19
0.433,26.45,165.73,54.06,2.4
0.351,25.75,169.66,47.22,1.81
0.793,36.59,166.23,80.78,3.95
0.795,26.72,142.25,83.01,3.8
0.648,32.37,119.01,51.91,2.96
0.486,34.59,118.49,67.75,2.39
0.492,22.35,152.59,54.18,2.8
0.699,22.54,170.87,66.1,4.03
0.793,27.33,70.57,53.2,3.57
0.788,33.14,165.22,42.74,3.97
0.729,26.17,161.96,46.74,3.72
0.653,22.02,70.51,63.54,3.01
0.346,26.61,138.79,51.22,2.01
0.389,23.44,176.63,61.76,2.44
0.794,25.51,162.2,80.95,3.8
0.634,27.33,67.54,41.85,2.91
0.305,24.05,171.02,76.69,2.27
0.356,33.3,80.77,61.91,1.68
0.665,26.09,68.7,46.95,2.58
0.303,32.58,87.34,50.45,1.65
0.388,31.58,117.99,84.59,2.05
0.602,36.37,157.83,55.65,3.19
0.681,23.41,92.05,42.92,3.03
0.659,25.43,106.83,66.36,3.21
0.423,35.84,76.93,48.65,1.9
0.692,35.15,94.99,80.43,3.64
0.43,25.07,168.25,55.96,2.46
0.479,23.72,141.7,67.83,2.05
0.711,35.7,140.87,78.32,3.61
0.657,24.85,89.98,84.28,2.97
0.767,35.94,77.55,83.13,3.42
0.662,37.38,166.49,45.06,3.3
0.613,25.53,173.24,55.2,3.43
0.352,35.45,66.43,68.94,1.63
0.502,28.78,123.62,45.59,2.82
0.446,34.62,112.78,57.23,2.65
0.434,28.52,148.61,82.77,2.42
0.835,23.13,96.22,48.58,3.43
0.516,33.4,134.47,62.37,2.82
0.791,24.41,69.91,42.23,3.15
0.647,36.83,158.75,68.8,3.29
0.737,28.68,88.64,66.69,3.57
0.576,23.31,97.67,77.59,2.81
0.617,25.66,105.39,79.23,2.73
0.571,35.8,84.79,49.56,2.57
0.407,27.14,157.07,78.67,2.3
0.697,35.7,68.24,84.1,2.97
0.454,24.76,172.02,79.81,2.77
0.313,29.49,171.67,78.87,2.13
0.655,36.05,159.28,65.74,3.15
0.397,22.77,174.26,69.48,2.03
0.817,26.87,151.34,75.47,4.13
0.825,36.56,127.51,48.02,3.91
0.803,31.54,146.59,83.99,3.87
0.504,33.46,60.47,53.42,2.17
0.309,35.47,142.25,63.16,1.93
0.811,30.38,65.04,64.67,3.53
0.536,35.53,166.52,77.65,2.79
0.832,32.22,167.58,60.96,4.0
0.83,32.97,73.72,58.65,3.55
0.769,24.45,141.56,55.92,3.56
0.462,37.02,140.18,79.8,2.57
0.512,34.74,119.77,78.32,2.69
0.768,26.07,63.0,59.31,3.45
0.474,31.28,73.69,58.7,2.0
0.393,28.02,139.11,48.51,1.88
0.606,32.57,123.55,62.64,3.1
0.815,37.9,65.55,55.28,3.78
0.683,22.73,122.11,58.27,2.89
0.614,37.24,161.91,48.81,3.43
0.353,23.16,166.86,67.69,2.24
0.638,29.37,143.64,59.62,3.66
0.845,29.71,139.52,80.79,4.15
0.377,26.3,152.29,59.18,1.85
0.585,31.07,76.01,75.48,2.97
0.783,35.34,82.82,66.76,3.41
0.707,26.7,118.29,80.45,3.48
0.683,23.13,114.12,78.69,3.32
0.686,32.12,82.12,78.89,3.23
0.498,34.03,141.39,84.02,3.01
0.461,37.27,148.93,44.88,2.6
0.745,24.55,92.5,52.49,3.75
0.746,36.42,97.55,40.01,3.36
0.777,29.71,90.88,76.29,3.61
0.802,25.77,93.43,71.34,3.96
0.581,37.4,103.76,81.88,2.9
0.576,25.81,112.93,71.86,3.14
0.739,33.74,118.1,42.65,3.43
0.657,34.56,118.19,49.76,3.17
0.686,28.89,134.07,44.18,3.63
0.738,33.04,101.29,40.73,3.7
0.79,31.16,120.41,52.25,3.95
0.486,25.07,120.73,66.07,2.72
0.507,34.16,71.6,79.2,2.43
0.352,36.85,135.52,69.87,1.86
0.618,29.82,93.38,48.32,2.82
0.32,37.91,65.64,61.64,1.43
0.556,28.85,137.65,50.33,3.12
0.598,29.68,65.81,66.84,2.52
0.458,32.78,113.03,67.0,1.9
0.625,24.97,134.54,55.99,3.22
0.317,36.43,179.83,47.5,2.19
0.321,34.82,121.82,72.29,2.02
0.752,35.96,98.18,53.47,3.69
0.498,31.75,119.04,81.79,2.59
0.37,36.14,83.48,57.72,1.82
0.587,32.88,112.55,40.35,2.9
0.723,30.18,164.77,64.3,3.77
0.419,36.91,76.33,62.97,1.97
0.643,29.04,123.62,55.89,3.09
0.347,30.01,134.5,45.83,2.28
0.328,24.71,97.56,70.52,1.87
0.592,37.16,148.31,53.45,2.98
0.597,25.54,139.64,42.03,2.98
0.651,25.22,115.68,81.16,3.21
0.699,23.62,136.81,47.25,3.16
0.837,29.25,160.83,46.74,4.21
0.584,26.38,132.05,46.55,2.98
0.478,33.85,128.26,50.87,2.54
0.737,26.92,134.57,50.46,3.52
0.449,33.53,141.07,46.24,2.41
0.541,25.14,108.38,74.36,2.74
0.343,25.68,160.42,72.53,1.91
0.314,34.9,170.87,41.79,2.1
0.829,27.94,134.62,45.58,3.96
0.76,23.79,166.41,75.72,3.93
0.683,37.38,149.36,63.94,3.31
0.525,24.84,110.76,49.44,2.7
0.395,24.4,119.52,75.55,2.25
0.386,27.73,128.42,73.4,2.31
0.438,23.53,172.69,72.7,2.63
0.602,24.49,137.77,43.81,3.02
0.693,35.54,121.03,73.9,3.44
0.663,24.74,74.81,58.03,3.14
0.454,23.78,140.03,49.74,2.44
0.825,36.08,126.57,60.77,3.51
0.706,29.1,172.8,53.43,3.78
0.605,24.51,101.04,79.23,3.11
0.636,31.3,155.45,63.23,3.18
0.531,22.66,93.9,71.39,2.78
0.436,28.84,80.61,43.86,2.24
0.496,31.45,61.46,54.21,1.98
0.717,37.31,167.45,70.82,3.95
0.308,27.22,113.35,52.62,1.94
0.364,34.24,93.74,65.87,1.88
0.325,24.12,108.38,52.53,2.03
0.322,28.94,145.42,51.45,2.11
0.771,25.57,107.19,49.86,3.47
0.687,29.88,87.09,50.31,3.31
0.561,28.68,70.53,73.63,2.43
0.354,37.68,134.61,41.59,2.07
0.57,36.68,176.72,51.17,3.21
0.56,31.32,136.18,80.92,3.16
0.395,24.82,173.63,54.51,2.54
0.539,30.91,165.36,57.06,2.86
0.519,34.67,78.7,75.51,2.13
0.639,22.61,165.49,71.72,3.34
0.649,28.94,60.13,41.17,3.41
0.325,22.68,121.16,44.79,2.2
0.506,25.9,122.73,59.32,2.47
0.644,23.47,147.22,62.49,3.67
0.577,37.37,150.72,47.47,3.33
0.771,24.7,87.8,51.24,3.39
0.662,24.4,165.84,75.21,4.02
0.39,37.55,81.49,57.49,1.9
0.339,30.26,175.38,75.61,2.46
0.653,34.13,178.22,73.6,3.15
0.315,27.24,143.62,56.79,1.74
0.622,30.53,137.84,77.8,3.33
0.817,22.11,177.5,67.75,4.16
0.617,28.54,89.04,41.31,3.08
0.513,30.88,137.12,48.82,3.03
0.654,30.23,108.74,49.28,2.97
0.552,28.49,80.11,40.42,2.62
0.6,34.61,75.33,71.43,2.92
0.818,30.03,144.04,72.35,4.23
0.512,32.18,87.48,76.75,2.24
0.829,24.95,131.92,61.81,3.67
0.798,35.78,88.51,54.97,3.67
0.408,27.81,114.46,70.07,2.51
0.338,29.71,149.08,73.87,2.13
0.355,27.64,123.38,74.96,1.84
0.31,36.27,164.58,63.39,1.93
0.352,36.41,123.16,51.76,1.96
0.676,25.59,83.31,44.13,2.76
0.339,34.04,167.65,62.45,2.19
0.475,23.65,110.15,54.73,2.3
0.765,22.48,164.1,81.84,3.88
0.313,35.39,87.89,84.18,2.04
0.748,24.1,136.34,40.88,3.91
0.455,24.48,79.83,81.48,2.35
0.365,31.71,69.61,62.44,1.72
0.683,35.07,179.87,71.88,3.8
0.646,25.03,61.26,48.13,2.62
0.783,23.83,130.95,79.25,3.6
0.704,23.24,61.61,46.71,3.06
0.742,22.4,126.21,73.34,3.81
0.455,23.86,71.99,73.86,2.03
0.398,37.08,154.5,41.47,2.4
0.713,23.52,95.12,66.45,3.08
0.744,31.56,101.32,68.97,3.63
0.845,36.74,90.28,74.55,3.94
0.527,32.05,73.67,69.78,2.74
0.505,22.52,120.04,42.37,2.6
0.727,31.54,113.72,61.6,3.66
0.487,36.45,124.73,77.02,2.25
0.812,27.16,135.11,67.0,3.72
0.772,27.02,70.64,46.85,3.33
0.536,25.98,109.62,47.65,2.49
0.713,30.09,131.11,54.08,3.51
0.715,25.81,98.78,63.0,3.61
0.357,33.58,82.97,54.83,1.81
0.796,32.32,132.76,48.64,3.76
0.578,28.41,146.21,67.49,3.32
0.755,33.56,150.07,76.92,3.5
0.476,23.58,99.07,67.6,2.36
0.793,33.99,71.88,46.69,3.38
0.514,31.65,169.87,41.89,2.92
0.306,32.08,142.54,66.61,1.84
0.798,23.03,173.81,84.04,3.77
0.35,31.89,77.47,48.52,1.74
0.476,29.91,138.87,67.38,2.52
0.823,29.77,83.56,61.23,3.64
0.823,27.15,163.97,77.53,3.83
0.615,22.12,122.34,42.67,3.12
0.648,28.76,123.92,59.69,3.3
0.547,28.41,171.69,53.5,3.04
0.461,28.76,96.49,50.99,2.25
0.481,31.79,134.28,73.31,2.43
0.67,26.8,77.32,49.16,2.96
0.714,26.31,103.58,56.34,3.65
0.735,29.96,83.37,80.15,3.26
0.734,31.48,84.16,74.64,3.37
0.35,31.08,139.33,70.48,2.12
0.572,36.11,94.38,56.52,2.57
0.332,34.31,90.12,69.74,1.67
0.602,22.84,156.96,47.19,3.24
0.543,31.02,116.86,67.97,2.62
0.788,28.69,105.6,49.82,3.51
0.493,27.78,157.82,47.46,2.4
0.364,37.33,118.65,73.14,2.18
0.379,29.31,157.79,76.75,2.16
0.719,33.51,98.22,78.03,3.17
0.64,37.47,175.43,43.15,3.42
0.356,24.42,170.84,45.87,2.34
0.346,22.87,158.83,80.54,2.07
0.686,27.02,85.53,57.52,3.51
0.34,22.71,147.3,72.7,2.35
0.752,23.87,158.11,55.18,3.76
0.688,37.87,103.61,49.42,3.33
0.345,37.36,76.84,82.66,1.42
0.347,33.06,92.36,49.7,1.96
0.843,34.05,130.27,67.97,4.06
0.506,24.25,90.21,55.13,2.07
0.504,31.52,139.4,81.72,2.63
0.747,24.47,107.02,76.68,3.21
0.821,28.05,87.07,51.71,3.88
0.842,27.53,133.58,58.48,3.77
0.714,31.82,68.85,64.31,2.86
0.507,23.28,134.98,41.81,2.49
0.346,23.66,176.93,53.95,2.22
0.727,31.76,145.37,69.66,3.59
0.607,32.18,99.37,42.99,2.74
0.533,27.44,168.15,53.71,2.96
0.798,24.35,123.34,69.56,3.65
0.361,36.18,123.41,50.54,2.08
0.571,22.85,105.4,50.25,2.93
0.306,33.48,66.27,49.06,1.55
0.558,24.24,92.39,76.08,2.64
0.331,32.2,158.2,74.6,2.1
0.365,32.62,91.17,72.58,1.72
0.365,34.87,109.48,76.99,2.16
0.657,28.32,136.08,45.87,3.28
0.71,22.35,93.89,70.44,3.57
0.621,34.98,157.42,61.97,3.64
0.829,29.11,167.85,53.92,3.84
0.506,35.55,67.4,57.05,2.47
0.457,34.42,128.95,62.84,2.39
0.778,29.97,101.93,58.43,3.65
0.423,37.99,126.52,46.76,2.29
0.83,29.39,125.62,65.8,3.69
0.307,33.14,61.2,42.1,1.64
0.833,32.72,137.82,50.58,3.87
0.324,30.29,85.91,74.59,2.0
0.79,31.37,127.09,53.21,3.73
0.59,34.78,167.45,82.22,3.22
0.846,31.15,83.07,77.69,3.89
0.341,29.2,92.42,57.26,1.91
0.605,32.59,67.64,80.48,2.86
0.833,22.57,119.01,47.67,4.04
0.588,23.75,164.41,48.93,3.12
0.646,24.01,125.38,77.7,3.12
0.683,28.81,102.3,77.06,3.37
0.55,35.95,168.7,73.63,3.05
0.645,32.29,123.87,75.53,3.04
0.621,37.56,176.84,65.29,3.36
0.796,22.64,150.03,43.46,3.65
0.325,33.55,169.36,80.24,2.1
0.455,27.03,137.8,45.91,2.46
0.823,22.37,178.72,47.72,4.17
0.79,35.21,123.05,75.67,3.77
0.551,24.6,136.87,42.3,3.02
0.641,25.43,76.11,62.09,3.19
0.453,27.45,172.41,52.02,2.56
0.403,34.61,100.2,55.29,1.98
0.555,31.99,139.81,57.48,2.93
0.494,26.24,103.26,47.83,2.28
0.621,24.7,166.22,76.23,3.66
0.343,23.75,73.24,52.85,1.73
0.836,24.4,168.18,58.4,4.0
0.842,35.89,135.09,43.39,3.9
0.684,36.76,174.78,44.39,3.45
0.595,37.49,120.43,66.83,3.15
0.47,35.36,119.19,59.06,2.51
0.748,36.2,103.05,62.01,3.9
0.677,35.06,99.48,66.96,2.52
0.389,37.33,74.8,78.4,2.16
0.801,35.53,99.28,50.63,3.21
0.752,29.39,133.09,41.95,3.47
0.822,27.17,70.13,62.35,3.6
0.699,31.35,82.31,65.63,3.04
0.637,31.73,163.19,41.97,3.2
0.53,31.2,70.95,45.93,2.61
0.813,33.31,88.95,79.44,3.93
0.776,33.18,60.46,40.6,3.57
0.325,23.4,146.26,75.85,2.08
0.315,26.57,162.1,71.49,2.08
0.507,36.24,165.54,82.95,2.49
0.746,31.44,168.02,50.26,3.71
0.843,27.26,108.44,49.8,3.71
0.383,35.61,127.14,64.05,2.39
0.627,25.98,141.33,61.79,3.44
0.509,28.55,169.76,69.6,2.68
0.833,26.42,155.57,70.89,3.78
0.763,35.94,118.69,42.5,4.02
0.761,33.65,121.17,66.74,4.1
0.558,29.36,100.36,70.8,2.5
0.528,36.92,61.4,58.27,2.14
0.45,36.84,77.32,80.17,2.08
0.331,33.38,99.8,60.64,1.92
0.776,36.27,132.71,74.86,3.92
0.747,33.51,145.68,44.37,3.49
0.85,32.05,166.92,82.4,4.56
0.848,28.73,126.54,61.81,3.88
0.605,26.38,107.3,48.48,2.95
0.723,22.96,142.97,44.82,3.54
0.82,34.81,107.02,62.36,3.71
0.767,23.95,73.02,48.62,3.8
0.436,28.57,60.49,50.7,1.6
0.548,25.75,145.01,42.25,2.93
0.371,29.27,167.89,81.6,2.59
0.825,27.04,141.37,57.82,3.61
0.633,35.28,63.31,76.19,2.79
0.426,37.65,86.33,75.95,2.25
0.669,37.06,173.56,73.97,3.75
0.64,31.96,145.16,76.44,3.31
0.497,37.67,148.5,41.06,2.47
0.362,28.41,156.76,72.1,2.33
0.669,30.36,169.51,75.77,3.36
0.586,26.11,112.7,57.31,2.96
0.725,36.37,111.62,63.18,3.07
0.586,24.88,62.77,76.86,2.61
0.769,31.77,172.46,81.6,3.93
0.604,34.79,75.66,58.87,2.71
0.609,31.53,114.08,54.92,3.07
0.782,23.26,132.01,48.71,3.86
0.522,31.78,179.25,50.24,3.34
0.374,34.27,107.91,54.3,1.87
0.316,25.01,140.25,41.25,2.15
0.715,33.79,174.32,77.38,3.73
0.641,36.06,128.58,79.04,3.33
0.687,37.78,124.12,44.78,3.46
0.417,28.56,128.76,77.12,2.3
0.375,22.4,158.14,67.85,2.42
0.308,28.71,65.11,53.11,1.37
0.493,32.56,151.21,47.92,2.84
0.624,36.26,80.67,78.32,2.61
0.516,37.01,152.07,78.42,2.91
0.541,36.55,156.01,62.68,3.08
0.797,32.53,135.14,82.84,3.5
0.492,32.92,112.69,66.18,2.29
0.583,22.04,147.9,61.28,2.91
0.731,27.82,62.29,48.33,3.43
0.518,36.51,137.85,47.16,2.96
0.642,33.03,87.88,50.07,2.93
0.774,29.49,139.25,80.87,3.85
0.822,23.67,76.53,50.57,3.45
0.381,25.94,81.55,80.83,1.89
0.81,30.88,114.22,74.04,3.99
0.571,36.36,123.59,63.21,3.1
0.442,23.53,109.96,57.41,2.61
0.553,24.46,133.33,49.22,2.72
0.839,32.48,66.42,69.0,3.65
0.571,26.71,83.2,83.81,2.49
0.481,24.72,60.44,79.9,2.25
0.648,24.85,127.93,53.14,3.16
0.432,29.88,142.88,84.31,2.48
0.342,31.34,118.03,75.93,1.89
0.371,36.47,115.35,70.38,2.58
0.37,30.48,111.09,44.69,2.12
0.384,33.06,100.32,75.49,1.89
0.376,24.89,130.59,44.85,2.09
0.652,33.42,60.74,62.43,2.96
0.4,32.38,131.46,75.11,2.08
0.49,25.46,118.79,45.67,2.48
0.793,32.71,135.06,80.39,3.56
0.561,25.38,162.53,81.18,2.95
0.667,31.5,159.45,68.23,3.29
0.395,32.7,156.85,72.5,1.97
0.406,33.09,109.38,59.11,2.13
0.322,36.55,106.79,56.05,1.66
0.393,37.17,84.82,75.02,1.58
0.453,34.96,63.8,47.22,2.3
0.397,36.06,120.62,65.44,2.37
0.349,22.31,176.97,62.56,2.13
0.366,27.8,150.26,73.53,2.34
0.553,22.64,125.7,78.19,2.64
0.413,25.6,95.77,69.01,1.99
0.5,28.11,74.62,81.98,2.31
0.577,35.88,91.66,59.53,3.03
0.68,30.19,124.11,77.93,3.34
0.322,32.38,134.89,48.47,2.11
0.74,27.81,103.91,40.18,3.14
0.645,31.65,72.59,68.37,2.83
0.345,35.05,91.55,48.01,1.99
0.78,26.82,90.84,83.99,3.55
0.806,36.92,124.21,42.86,3.8
0.334,25.41,72.4,65.16,1.62
0.452,36.71,94.58,79.13,2.45
0.743,22.45,101.23,66.59,3.48
0.712,30.68,123.27,61.96,3.2
0.401,37.76,95.85,62.54,1.94
0.415,31.76,77.98,46.99,2.5
0.504,30.88,63.06,59.51,2.31
0.566,32.92,80.76,82.11,2.26
0.64,26.63,158.97,41.58,3.41
0.503,22.86,102.03,69.3,2.67
0.554,26.02,124.68,69.2,3.1
0.711,24.82,118.8,81.66,3.38
0.32,36.78,93.15,45.14,2.16
0.439,35.64,161.22,71.46,2.66
0.692,27.08,172.64,77.86,4.07
0.792,35.38,85.49,44.98,3.57
0.581,25.39,156.89,52.33,3.34
0.593,25.19,150.69,65.46,3.53
0.359,34.28,160.59,40.33,2.2
0.546,27.23,109.06,44.58,2.5
0.593,23.04,142.35,42.17,2.78
0.433,33.52,82.8,40.12,2.08
0.448,37.83,176.17,66.05,2.47
0.508,31.06,146.72,63.32,2.63
0.311,26.22,69.18,61.33,1.51
0.477,27.97,165.36,83.7,2.72
0.416,32.38,175.09,64.82,2.48
0.48,33.22,100.04,82.79,2.12
0.366,36.18,124.67,67.0,1.77
0.79,36.54,179.03,68.64,4.46
0.626,35.78,114.11,44.99,3.29
0.674,32.38,139.89,58.94,3.4
0.734,29.2,114.29,77.95,3.85
0.574,32.87,69.08,78.11,2.62
0.348,32.67,121.15,77.49,1.8
0.595,25.49,159.21,68.13,3.45
0.623,30.12,64.98,60.68,3.03
0.71,25.33,112.92,71.75,3.69
0.537,36.39,158.67,56.03,2.78
0.37,27.17,102.41,53.85,1.86
0.456,34.89,177.29,75.21,2.69
0.5,28.04,105.98,54.4,2.38
0.655,34.22,153.98,47.45,3.28
0.614,25.53,89.47,83.9,2.91
0.496,34.22,99.89,63.3,2.32
0.843,24.87,146.52,52.7,4.07
0.633,29.85,66.84,60.19,2.83
0.43,23.82,71.25,47.23,2.0
0.356,30.45,92.01,52.97,2.36
0.384,35.13,90.09,59.9,2.07
0.435,34.09,67.92,48.58,2.18
0.388,22.81,176.63,71.18,2.45
0.403,29.87,95.22,46.29,2.03
0.457,35.64,146.7,79.01,2.26
0.395,32.4,107.16,71.62,1.82
0.793,22.95,178.92,63.81,4.07
0.344,27.21,76.84,77.15,1.91
0.588,30.91,104.92,42.42,2.63
0.526,24.76,111.8,70.98,2.61
0.84,32.91,146.08,48.38,4.3
0.362,32.16,119.52,52.87,2.1
0.519,25.24,150.04,57.93,2.84
0.833,30.81,160.95,63.77,4.07
0.776,34.99,94.71,74.06,3.63
0.749,28.0,156.47,49.73,3.69
0.442,25.95,118.98,65.95,2.24
0.394,33.22,69.18,52.02,2.11
0.668,23.13,95.64,46.87,3.24
0.811,35.32,156.35,81.13,4.56
0.606,37.1,106.67,61.14,3.11
0.614,37.44,71.19,48.63,2.9
0.454,28.92,136.6,77.11,2.25
0.723,31.97,162.04,54.34,3.4
0.403,35.72,75.94,45.86,2.39
0.478,25.57,125.16,42.76,2.57
0.534,22.44,84.93,55.05,2.47
0.579,28.15,100.53,78.22,2.4
0.433,36.15,109.67,59.43,2.84
0.363,30.08,60.63,47.84,1.77
0.636,30.48,102.69,53.38,3.15
0.459,33.06,97.13,45.42,2.36
